datetime,time,tem,dew_point,humidity,pressure,wind_dr,wind_sp,condition
2017/3/26,8,13,11,82,1024,14,3,10
2017/3/26,9,13,9,77,1025,1,5,8
2017/3/26,10,14,7,63,1025,3,7,8
2017/3/26,11,14,7,53,1024,15,3,5
2017/3/26,12,14,6,59,1024,1,6,3
2017/3/26,13,15,7,59,1023,3,5,3
2017/3/26,14,14,8,58,1023,4,3,10
2017/3/26,15,15,8,63,1022,1,3,3
2017/3/26,16,16,8,59,1021,3,4,5
2017/3/26,17,15,9,59,1022,4,2,5
2017/3/26,18,16,8,59,1022,1,5,5
2017/3/26,19,15,9,67,1022,2,2,5
2017/3/26,20,15,9,59,1023,4,2,5
2017/3/26,21,15,8,63,1023,5,2,5
2017/3/26,22,15,9,67,1024,0,0,5
2017/3/26,23,15,10,60,1024,15,1,2
2017/3/27,0,16,9,63,1024,3,2,5
2017/3/27,1,15,9,67,1024,1,2,5
2017/3/27,2,15,8,53,1024,4,1,2
2017/3/27,3,15,10,72,1023,1,3,5
2017/3/27,4,14,9,72,1023,0,0,5
2017/3/27,5,15,9,61,1023,12,1,2
2017/3/27,6,14,9,72,1023,3,2,5
2017/3/27,7,13,10,82,1024,15,2,5
2017/3/27,8,16,7,45,1024,15,2,3
2017/3/27,9,18,9,56,1025,1,3,5
2017/3/27,10,20,8,46,1025,1,4,5
2017/3/27,11,22,4,19,1025,1,3,4
2017/3/27,12,24,5,29,1024,2,3,5
2017/3/27,13,25,9,36,1023,12,4,5
2017/3/27,14,24,8,36,1021,9,3,5
2017/3/27,15,23,10,44,1020,8,3,4
2017/3/27,16,22,11,50,1020,8,4,3
2017/3/27,17,22,4,21,1021,2,2,3
2017/3/27,18,24,1,22,1020,13,5,3
2017/3/27,19,22,4,31,1021,16,4,3
2017/3/27,20,20,9,39,1022,3,2,3
2017/3/27,21,21,9,46,1022,13,5,3
2017/3/27,22,20,10,52,1022,16,4,5
2017/3/27,23,19,9,41,1022,2,2,2
2017/3/28,0,19,9,52,1021,13,3,5
2017/3/28,1,18,8,52,1021,16,3,5
2017/3/28,2,19,7,46,1021,13,3,5
2017/3/28,3,19,7,46,1021,16,2,5
2017/3/28,4,18,7,49,1020,1,3,5
2017/3/28,5,17,10,55,1020,4,1,2
2017/3/28,6,17,8,55,1020,6,1,5
2017/3/28,7,18,9,56,1020,3,3,5
2017/3/28,8,18,12,57,1021,4,1,3
2017/3/28,9,21,11,53,1020,16,4,5
2017/3/28,10,22,12,53,1020,6,4,5
2017/3/28,11,24,15,49,1021,5,3,4
2017/3/28,12,23,13,53,1019,8,3,7
2017/3/28,13,23,15,61,1018,17,3,6
2017/3/28,14,24,18,69,1017,8,3,4
