direction							
1	2461							
1	2678							
1	2732							
1	2749							
1	2443							
1	2580							
1	2731							
1	2655							
1	2735							
1	3094							
1	2794							
1	2529							
1	2707							
1	2505							
1	2678							
1	2483							
1	2538							
1	2711							
1	2541							
1	2740							
1	2561							
1	2830							
1	2833							
1	2560							
1	2865							
1	2613							
1	2751							
1	2671							
1	2611							
1	2693							
1	2981							
1	3573							
1	2711							
1	2724							
1	2500							
1	2695							
1	3361							
1	2667							
1	2922							
1	2794							
1	3625							
1	3635							
1	2808							
1	3591							
1	3589							
1	2723							
1	2941							
1	2674							
1	2942							
1	2930							
1	3901							
1	2997							
1	3945							
1	3042							
1	3859							
1	3781							
1	3269							
1	2884							
1	2878							
1	2943							
1	2965							
1	2796							
1	2882							
1	2818							
1	2898							
1	2827							
1	3051							
1	2891							
1	2741							
1	3001							
1	2864							
1	2553							
1	3025							
1	2602							
1	2690							
1	3036							
1	2595							
1	2617							
1	3113							
1	3775							
1	2829							
1	3662							
1	2468							
1	2932							
1	2673							
1	2763							
1	3031							
1	2680							
1	2943							
1	3006							
1	2941							
1	2809							
1	2898							
1	2957							
1	2820							
1	3180							
1	3266							
1	2911							
1	2738							
1	2867							
1	3559							
1	5941							
1	2550							
1	2590							
1	2734							
1	2452							
1	2696							
1	2670							
1	2301							
1	2446							
1	2575							
1	2389							
1	2624							
1	2825							
1	2810							
1	2489							
1	2675							
1	2458							
1	2484							
1	2475							
1	2723							
1	2606							
1	2412							
1	2559							
1	2801							
1	2649							
1	2722							
1	2548							
1	2374							
1	2676							
1	2480							
1	3349							
1	2701							
1	3455							
1	2851							
1	2729							
1	2542							
1	2768							
1	2469							
1	2486							
1	2741							
1	2793							
1	2783							
1	2696							
1	2755							
1	2722							
1	2573							
1	2653							
1	3072							
1	2850							
1	2929							
1	2696							
1	2547							
1	2523							
1	2342							
1	2805							
1	2607							
1	2539							
1	2649							
1	2658							
1	2577							
1	2468							
1	2601							
1	2743							
1	2561							
1	2576							
1	2602							
1	2655							
1	2580							
1	2480							
1	2465							
1	2645							
1	3240							
1	3146							
1	2803							
1	2913							
1	3561							
1	3314							
1	4086							
1	3990							
1	3210							
1	3049							
1	2858							
1	2717							
1	2715							
1	3404							
1	2549							
1	2734							
1	3334							
1	2831							
1	3141							
1	2786							
1	3618							
1	2728							
1	2935							
1	2985							
1	2986							
1	3318							
1	3378							
1	2993							
1	3183							
1	3360							
1	2997							
1	3184							
1	3023							
1	3347							
1	2987							
1	3167							
1	3072							
1	2839							
1	2789							
1	2724							
1	2982							
1	3504							
1	2741							
1	3808							
1	3267							
1	3008							
1	2890							
1	2932							
1	2785							
1	2962							
1	3043							
1	2929							
1	2697							
1	2694							
1	2911							
1	3521							
1	3473							
1	3420							
1	3135							
1	3076							
1	3135							
1	2762							
1	3455							
1	2967							
1	3391							
1	3536							
1	3070							
1	3069							
1	3697							
1	3230							
1	3045							
1	3602							
1	3451							
1	3465							
1	2415							
1	2635							
1	2630							
1	2658							
1	2425							
1	2379							
1	2593							
1	2427							
1	2501							
1	2452							
1	2334							
1	2559							
1	2661							
1	2556							
1	2676							
1	2775							
1	2733							
1	2642							
1	2702							
1	2772							
1	2695							
1	2556							
1	2676							
1	2986							
1	2927							
1	2893							
1	2757							
1	2962							
1	2804							
1	2905							
1	2679							
1	3024							
1	2831							
1	3903							
1	2853							
1	2729							
1	2716							
1	2844							
1	2919							
1	2831							
1	3953							
1	2903							
1	2771							
1	2951							
1	3855							
1	2884							
1	3492							
1	3760							
1	2877							
1	2724							
1	3036							
1	2820							
1	3492							
1	3427							
1	2740							
1	2587							
1	3315							
1	2858							
1	2835							
1	2535							
1	2649							
1	3620							
1	2899							
1	2550							
1	3072							
1	2992							
1	2756							
1	2921							
1	2734							
1	3109							
1	3591							
1	3627							
1	2964							
1	3062							
1	2847							
1	2618							
1	2675							
1	2488							
1	2577							
1	2933							
1	2735							
1	2541							
1	2641							
1	2888							
1	2652							
1	2834							
1	2607							
1	3064							
1	3559							
1	2783							
1	3402							
1	2855							
1	2686							
1	2794							
